slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,4,2,-4,1,4,6,4,4,0
1,6,5,10,9,10,11,10,7,0.005
2,-5,-5,-13,-7,-8,-7,-7,-6,0.01
3,-5,2,-4,-7,-8,-5,-6,-6,0.015
4,1,-2,4,3,3,1,2,1,0.02
5,6,4,8,7,8,6,7,5,0.025
6,-4,-4,-4,-5,-7,-4,-4,-3,0.03
7,-3,-2,-3,-5,-5,-7,-6,-5,0.035
8,-2,0,4,0,0,0,0,0,0.04
9,5,3,5,9,9,8,7,6,0.045
10,-4,-1,-6,-5,-6,-5,-3,-3,0.05
11,-6,-16,-8,-5,-5,-6,-5,-6,0.055
12,2,4,3,2,2,2,1,1,0.06
13,4,2,-9,-14,4,5,5,5,0.065
14,-4,-3,-1,19,-2,-4,-5,-4,0.07
15,-2,-3,-4,-3,-6,-5,-6,-4,0.075
16,1,3,-8,1,1,1,2,2,0.08
17,2,4,16,4,3,2,2,2,0.085
18,-3,-3,-7,-13,-5,-3,-2,-1,0.09
19,-3,-2,-8,-7,-4,-3,-2,-1,0.095
20,3,0,8,9,3,1,1,-1,0.1
21,1,1,3,-1,0,2,1,1,0.105
22,-2,-1,2,0,-1,-2,-4,-2,0.11
23,-1,-1,1,6,0,-2,0,0,0.115
24,-5,-6,-4,-7,-6,-7,-6,-6,0.12
25,-5,-6,-8,-7,-8,-7,-7,-7,0.125
26,2,2,3,0,2,2,2,1,0.13
27,5,6,4,7,8,6,6,5,0.135
28,-3,-2,-15,-5,-4,-4,-3,-2,0.14
29,-5,-10,-2,-2,-5,-4,-5,-6,0.145
30,1,-1,16,7,0,-1,0,-1,0.15
31,5,5,14,8,7,6,6,6,0.155
32,-3,0,-3,-4,-4,-2,-3,-2,0.16
33,-3,-1,-9,-7,-6,-7,-5,-3,0.165
34,-1,1,-4,-1,-1,1,0,-1,0.17
35,5,3,3,3,6,6,5,4,0.175
36,-3,-1,5,-6,-3,-3,-2,-3,0.18
37,-3,-4,-11,4,-5,-5,-5,-5,0.185
38,1,2,7,3,0,2,0,1,0.19
39,3,3,-2,1,3,5,3,3,0.195
40,-1,-3,-4,-2,-2,-3,-3,-2,0.2
41,-3,0,-1,-12,-5,-2,-3,-3,0.205
42,-1,-2,-1,3,3,2,3,1,0.21
43,0,-1,-5,4,3,3,3,1,0.215
44,0,0,9,-3,-4,-3,-2,-3,0.22
45,-2,-1,5,0,-3,-5,-3,-1,0.225
46,2,-1,-6,-1,1,0,0,0,0.23
47,-1,0,-5,-2,1,2,2,0,0.235
48,0,-2,-6,-11,-1,-1,-4,-2,0.24
49,-2,2,5,22,1,-1,-2,-2,0.245
50,-1,-9,-12,-2,0,0,0,-1,0.25
51,3,7,-3,-3,0,0,2,1,0.255
52,-5,-8,-11,-1,-2,-2,-3,-1,0.26
53,-2,-4,1,-8,-4,-2,-1,-3,0.265
54,1,1,-3,-5,-1,0,-2,0,0.27
55,-1,-1,2,6,1,1,1,0,0.275
56,0,-1,-2,0,-3,-1,-1,-2,0.28
57,-1,-4,-3,-6,-1,-3,-2,0,0.285
58,-1,0,-2,1,0,-1,0,-2,0.29
59,-1,-2,4,-4,0,-1,1,-1,0.295
60,-1,1,5,10,-1,-1,-2,-2,0.3
61,1,-1,-5,-8,-2,-1,-1,-1,0.305
62,0,1,1,0,1,0,2,-1,0.31
63,0,0,4,2,1,1,0,-1,0.315
64,-1,0,4,-4,-3,-2,0,0,0.32
65,-1,-5,-9,-15,-2,-2,1,-2,0.325
66,-1,0,6,23,2,0,-1,-1,0.33
67,1,1,0,2,0,0,-2,-1,0.335
68,-1,-5,-4,0,-2,-2,-2,-1,0.34
69,0,5,27,-4,-2,-1,-1,0,0.345
70,-1,1,-10,-12,-2,-2,-1,-1,0.35
71,-1,4,1,3,2,1,0,0,0.355
72,-2,-4,-3,-1,-1,-2,-1,-1,0.36
73,0,2,10,3,-1,0,1,-1,0.365
74,1,1,-1,2,2,-1,-1,0,0.37
75,0,2,5,4,1,2,-1,1,0.375
