slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,0,0,-1,1,1,-1,-1,-1,0
1,0,0,2,2,4,0,0,1,0.005
2,-1,-1,-1,0,-1,1,-1,-2,0.01
3,-3,0,-2,-3,-2,-1,-1,-1,0.015
4,-1,0,0,-2,-3,0,-1,-1,0.02
5,0,0,-1,-2,-3,0,-1,-2,0.025
6,-2,-3,-2,-2,0,-3,0,-1,0.03
7,0,-2,-2,-1,-1,-1,-2,-1,0.035
8,-1,0,-2,-2,0,0,-1,-1,0.04
9,1,1,0,-1,-2,-1,-1,0,0.045
10,-1,-1,-3,-2,-2,-1,-1,-1,0.05
11,-2,-1,0,-4,-3,-2,-2,-3,0.055
12,-1,0,0,-1,1,-2,2,-1,0.06
13,2,0,1,1,2,2,2,0,0.065
14,-1,0,0,-2,-2,-2,1,-1,0.07
15,-2,-2,-3,-1,-2,-2,-3,-2,0.075
16,1,-1,0,-1,0,0,0,0,0.08
17,0,-1,-1,0,0,-1,0,-1,0.085
18,-1,-1,-2,-1,-1,0,0,0,0.09
19,-2,-1,-2,0,-1,-2,-1,-2,0.095
20,0,-2,0,-1,-3,-1,-1,-1,0.1
21,1,1,-1,-1,1,0,2,1,0.105
22,0,-1,-1,-1,0,-1,-2,-2,0.11
23,-1,-2,-3,-3,-3,-4,-2,-1,0.115
24,0,0,-1,1,-1,-1,-2,-1,0.12
25,1,1,2,-1,-1,-1,-1,1,0.125
26,-2,-2,-1,-3,0,-2,-2,-3,0.13
27,0,1,0,3,-1,1,0,0,0.135
28,1,2,1,-2,1,1,1,2,0.14
29,0,0,-1,-4,-4,-1,-2,-1,0.145
30,-3,-1,-2,3,2,-2,-1,0,0.15
31,-1,-2,-1,-1,-1,0,0,0,0.155
32,0,0,-1,2,1,1,1,-1,0.16
33,-1,-2,-1,-8,-3,-2,-1,-2,0.165
34,-2,-1,-3,-3,-2,0,-2,-1,0.17
35,1,0,-1,1,1,-1,-1,-2,0.175
36,0,-1,-1,1,2,2,1,1,0.18
37,0,-1,-3,0,1,-2,-2,-2,0.185
38,-2,-1,-2,-1,-2,-2,-3,-3,0.19
39,0,0,0,-2,0,0,2,0,0.195
40,-1,1,1,1,1,0,-1,-1,0.2
41,0,-3,-1,1,-1,0,-1,0,0.205
42,-3,-2,0,-2,-5,-4,-2,0,0.21
43,-1,-1,-1,0,-1,0,-2,0,0.215
44,1,1,1,-1,6,1,1,0,0.22
45,-2,-1,-1,-1,-1,0,0,0,0.225
46,-1,-2,-1,-2,-2,-1,-1,-2,0.23
47,-1,1,0,-2,0,0,-1,1,0.235
48,0,-2,-1,-1,-3,-1,0,-1,0.24
49,-2,-2,-2,1,-1,-2,-1,-2,0.245
50,2,-2,0,-1,-3,-3,-1,-1,0.25
51,0,-3,-1,0,-2,-1,-1,-2,0.255
52,0,0,-1,3,2,-1,-1,-1,0.26
53,0,-1,0,0,1,0,0,0,0.265
54,-2,-2,-3,-1,-2,-1,-2,-3,0.27
