slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,1,-1,-1,1,2,0,-1,0,0
1,-1,1,3,2,0,-2,-1,-1,0.005
2,-3,-2,1,5,-1,-3,-2,-2,0.01
3,-2,-1,-2,0,-2,-1,-1,-1,0.015
4,-2,1,-1,4,-2,-2,-1,1,0.02
5,0,-1,-2,-4,1,3,2,1,0.025
6,-1,0,-4,-4,-2,-1,0,-1,0.03
7,-1,-1,-3,-3,0,-1,-3,-2,0.035
8,-1,-1,0,-5,-1,-1,-1,0,0.04
9,0,-1,-1,3,-3,-1,-2,0,0.045
10,-1,-2,-6,-15,-2,0,-1,-2,0.05
11,0,0,9,11,0,-3,-1,-1,0.055
12,-4,-2,-4,5,0,2,3,0,0.06
13,-1,-2,-2,2,0,-2,-5,-4,0.065
14,0,-2,-1,7,0,1,-2,-2,0.07
15,1,1,-3,-8,-2,-3,-4,-3,0.075
16,2,-1,10,8,2,3,4,0,0.08
17,-1,-2,-23,-27,-5,-3,-1,0,0.085
18,-1,-1,6,11,-1,-2,0,-1,0.09
19,-3,-4,-5,-7,-3,-3,-3,1,0.095
20,0,2,2,1,0,-2,-2,-2,0.1
21,6,1,9,5,2,2,0,-1,0.105
22,0,0,0,0,2,-1,-2,1,0.11
23,1,0,2,1,1,0,-1,0,0.115
24,-1,-1,1,0,-2,0,2,0,0.12
25,-3,-2,-2,-3,-3,-2,-2,-2,0.125
26,0,0,-2,-2,-2,0,1,-2,0.13
27,0,0,2,3,1,3,1,1,0.135
28,0,-1,0,0,-1,-1,-2,0,0.14
29,-2,-1,-11,-18,-3,-3,-2,-2,0.145
30,-3,-2,19,35,1,-3,-1,1,0.15
31,-1,-1,-5,-2,1,0,0,1,0.155
32,1,0,1,3,2,0,0,-1,0.16
33,1,-1,-9,-15,-4,1,-2,-3,0.165
34,1,0,0,-6,-4,0,-1,-2,0.17
35,2,-1,-2,-4,-1,-2,0,0,0.175
36,1,-2,-2,1,0,-1,-1,1,0.18
37,-1,-3,0,-2,-1,2,5,0,0.185
38,-1,-2,-3,-6,-2,-1,-3,-1,0.19
39,-1,-1,1,4,-1,0,1,1,0.195
40,-2,-1,-3,-7,0,-1,-1,-2,0.2
41,-2,-1,2,6,0,-3,-4,-1,0.205
42,-3,0,-2,-4,-1,-2,1,-1,0.21
43,0,0,2,2,-1,0,-3,-1,0.215
