slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,-5,-5,-5,-6,-6,-7,-7,-6,0
1,-6,-7,-7,-8,-9,-7,-7,-7,0.005
2,2,2,2,1,2,1,2,2,0.01
3,5,4,5,7,6,6,7,7,0.015
4,-2,-4,-1,-3,-4,-3,-2,-2,0.02
5,-6,-3,-5,-5,-6,-5,-6,-5,0.025
6,0,0,0,0,0,0,-1,-1,0.03
7,6,6,5,7,7,6,6,5,0.035
8,-2,-2,-2,-2,-2,-3,-2,-3,0.04
9,-3,-5,-4,-6,-4,-5,-4,-5,0.045
10,-1,-1,1,0,0,1,1,0,0.05
11,5,4,5,5,6,6,6,5,0.055
12,-1,-2,-3,-4,-2,-3,-3,-1,0.06
13,-5,-4,-5,-5,-5,-6,-5,-5,0.065
14,0,-1,-1,-2,0,0,-1,0,0.07
15,4,3,4,5,6,4,3,2,0.075
16,-4,-2,-3,-2,-4,-2,-1,-2,0.08
17,-3,-3,-4,-3,-3,-2,-3,-2,0.085
18,0,0,-2,-2,0,0,0,0,0.09
19,1,2,2,3,2,1,3,2,0.095
20,-1,-3,-2,-2,-3,-2,-2,-3,0.1
21,-1,-2,-2,-2,-2,-2,-3,-1,0.105
22,1,-1,-1,0,1,0,1,-2,0.11
23,1,1,2,2,2,2,0,0,0.115
24,0,0,-1,-1,1,1,1,1,0.12
25,3,6,5,6,5,5,6,5,0.125
26,0,-2,-3,-1,0,-2,0,0,0.13
27,-5,-5,-6,-6,-7,-6,-6,-5,0.135
28,-1,0,-3,-2,-1,-2,-1,-1,0.14
29,2,1,1,2,3,2,1,1,0.145
30,0,2,3,1,0,0,3,3,0.15
31,-4,-6,-6,-3,-6,-4,-5,-4,0.155
32,-1,-1,-1,-4,-3,-3,-3,-2,0.16
33,2,2,3,2,3,3,3,3,0.165
34,1,1,1,2,1,1,1,0,0.17
35,-2,-3,-3,-6,-5,-5,-4,-3,0.175
36,-1,-2,-2,-3,-2,-2,-3,-2,0.18
37,2,2,2,4,5,5,1,2,0.185
38,-1,-1,-1,-1,-1,1,-2,-2,0.19
39,-3,-3,-4,-4,-5,-4,-4,-5,0.195
40,-1,-1,0,-2,-1,0,1,0,0.2
41,2,3,2,2,2,1,2,2,0.205
42,-1,-3,0,0,0,-2,-1,-1,0.21
43,-2,-3,-4,-2,-3,-1,-3,-4,0.215
44,-1,-1,0,0,-1,-1,0,-1,0.22
45,0,1,0,1,2,1,1,1,0.225
46,-1,-2,0,1,0,-2,-2,-3,0.23
47,-2,-1,-2,-3,-1,0,-2,-1,0.235
48,-1,-1,-1,-1,0,-1,-1,-1,0.24
49,1,0,-2,0,0,0,0,0,0.245
50,1,-1,0,-1,-1,-1,-1,1,0.25
51,-1,0,0,-1,-2,-2,-1,-2,0.255
52,-1,-1,0,-2,0,0,-2,0,0.26
53,-1,0,2,0,0,-1,0,0,0.265
54,-2,-1,-1,-1,-2,0,-1,0,0.27
55,-1,-2,-2,-3,-1,-2,-1,-1,0.275
56,-2,-1,-2,-2,0,0,0,-2,0.28
57,0,0,1,0,0,0,1,0,0.285
58,-2,0,0,-1,-2,-1,-1,-1,0.29
59,-2,-1,0,-3,-2,-2,-1,-2,0.295
60,0,0,-2,0,0,-1,0,-2,0.3
61,0,-2,0,0,0,0,0,0,0.305
62,0,0,-2,-2,-1,-1,0,-2,0.31
63,-1,-1,0,-3,0,-1,-2,-1,0.315
64,-1,-2,-1,1,0,0,-1,-1,0.32
65,0,-1,0,0,0,-1,0,-2,0.325
66,-2,0,-2,0,-2,-1,-2,-1,0.33
67,1,-1,-1,0,-2,0,-2,-1,0.335
68,0,-1,0,-2,0,-1,-2,0,0.34
69,0,0,-1,0,-2,0,0,1,0.345
70,-1,-2,0,-2,0,-1,-2,-1,0.35
