slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,-1,0,0,-1,0,-2,-1,1,0
1,0,-1,-2,-2,-5,-8,-2,-1,0.005
2,-1,-1,-1,0,1,4,1,-2,0.01
3,0,-1,-1,0,2,1,1,0,0.015
4,-1,0,1,0,-2,1,-1,-1,0.02
5,-1,-1,1,1,0,1,0,0,0.025
6,-1,-1,-1,-3,-4,-5,-2,-1,0.03
7,-1,-1,-1,-2,-1,-2,-2,-1,0.035
8,1,0,-2,0,1,1,0,-1,0.04
9,-2,-2,-1,-1,-4,-1,0,0,0.045
10,-1,0,0,1,1,-2,0,1,0.05
11,0,0,-1,-1,1,2,0,-1,0.055
12,-1,-1,-1,-2,-6,-3,-1,1,0.06
13,0,0,1,-1,7,1,-1,-3,0.065
14,0,0,0,1,-3,-1,-1,-1,0.07
15,-1,0,-3,-1,-1,-4,0,0,0.075
16,-2,0,-2,-1,1,4,0,-2,0.08
17,-1,-3,-1,-1,-4,-2,-2,-2,0.085
18,-2,-2,-2,-3,0,-4,-2,-1,0.09
19,-2,-1,2,0,-1,1,0,1,0.095
20,-1,-2,-1,0,-1,-3,-1,-1,0.1
21,0,0,-1,-1,-4,1,-1,-1,0.105
22,1,0,-1,1,9,0,-3,-1,0.11
23,-1,-2,-2,-1,-5,-4,-1,-1,0.115
24,-2,-1,0,-1,-2,-1,0,1,0.12
25,-2,-1,-1,-1,-3,-1,-2,-3,0.125
26,-1,-1,-2,0,0,-1,0,-1,0.13
27,1,-1,-1,0,1,3,0,0,0.135
28,1,0,0,-1,-1,-1,0,-2,0.14
29,-1,0,-1,-2,1,-1,0,-1,0.145
30,-1,1,0,-2,-6,-3,-2,-1,0.15
31,0,0,-2,-1,6,0,-1,-1,0.155
32,1,-1,-2,1,0,-3,-1,0,0.16
33,-2,-4,-2,0,1,8,2,-1,0.165
34,-1,0,1,1,0,1,0,0,0.17
35,-1,-1,0,-2,-5,-4,-1,0,0.175
36,0,-1,-1,1,-2,-1,-1,-1,0.18
37,0,0,-1,0,0,-4,-1,0,0.185
38,-1,-2,-2,-1,1,0,0,0,0.19
39,-1,1,0,-1,-2,0,-3,-2,0.195
40,-2,-1,-1,-3,0,-1,-2,0,0.2
41,-1,-1,-2,-1,-4,0,-2,0,0.205
42,0,-3,0,-2,0,-1,1,0,0.21
43,-1,-3,-2,1,0,1,-1,-1,0.215
44,-1,-1,-2,0,1,1,1,-2,0.22
45,-2,1,-1,-1,-1,-2,-2,0,0.225
46,-2,-2,-1,-2,-4,-5,-4,-2,0.23
47,-1,-2,-3,-1,-2,-2,-1,0,0.235
48,-2,-1,-1,1,-2,0,2,1,0.24
49,0,0,0,3,7,1,0,-1,0.245
50,-1,0,-1,0,0,-2,1,-1,0.25
51,-1,-1,-1,-2,-4,-3,-2,1,0.255
52,-1,-2,-1,-1,-3,-1,-2,-2,0.26
53,0,-2,0,-4,-2,-1,-1,-1,0.265
54,0,0,-1,-1,-2,-3,-3,-1,0.27
55,-2,-1,-1,0,1,2,0,0,0.275
56,-1,-1,1,-1,1,3,-1,0,0.28
57,-1,0,-1,-1,-4,-5,-2,0,0.285
58,-2,-1,-2,0,2,0,-1,-1,0.29
59,-1,-1,-1,-1,-1,-3,0,-3,0.295
60,0,-2,0,-1,1,0,-2,-2,0.3
61,-1,-3,0,-1,-1,0,0,-1,0.305
62,-1,-1,-1,-1,-1,0,-1,1,0.31
63,-2,-1,0,-1,-3,-4,-1,-2,0.315
64,-2,0,-2,-2,-9,-4,-1,0,0.32
65,1,1,0,2,9,5,-1,-2,0.325
66,1,0,0,-1,0,-2,-1,-1,0.33
67,-1,0,-2,-1,-1,3,1,-1,0.335
68,1,0,-2,0,1,0,-1,-1,0.34
69,-1,-1,-1,-2,-6,-2,2,1,0.345
70,0,0,-1,-1,-2,1,-2,-1,0.35
71,-1,-2,-1,-1,-3,-5,-1,-2,0.355
72,0,-1,-1,-1,1,4,0,-2,0.36
73,-1,-2,-1,1,-1,0,0,-1,0.365
74,0,-1,0,0,1,1,0,0,0.37
75,-1,0,-2,-2,-2,-3,-1,0,0.375
76,-1,0,1,-1,1,-3,-2,0,0.38
77,0,0,0,1,-1,2,-1,-1,0.385
78,0,-1,0,0,-1,-1,1,-1,0.39
79,-1,-2,-1,-1,-2,-2,-1,0,0.395
80,-2,-2,0,-1,0,-2,0,0,0.4
81,0,-1,-1,0,-1,1,-1,-1,0.405
82,0,-2,-1,-2,-2,0,-2,0,0.41
