slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,-5,-6,-15,-13,-8,-8,-8,-5,0
1,1,1,13,-2,2,1,1,0,0.005
2,4,5,5,6,4,4,5,4,0.01
3,-2,-4,-5,-4,-2,-3,-3,-3,0.015
4,-4,-1,-1,-1,-4,-3,-3,-4,0.02
5,0,0,-8,-8,-1,-1,-1,-1,0.025
6,0,-5,-3,0,3,4,3,2,0.03
7,-1,1,1,0,-2,-3,-3,-1,0.035
8,-3,-6,-6,-7,-5,-4,-5,-5,0.04
9,-1,2,2,3,-2,-1,-1,-2,0.045
10,3,4,4,4,6,3,3,3,0.05
11,-3,-4,-6,-4,-4,-3,-2,-1,0.055
12,-3,-3,-1,-7,-3,-6,-4,-4,0.06
13,0,-1,-1,3,3,0,1,0,0.065
14,3,4,4,13,5,3,4,4,0.07
15,-4,-3,-4,-4,-3,-2,-2,-2,0.075
16,-2,-2,-1,-6,-5,-4,-4,-2,0.08
17,0,-1,-1,7,0,0,1,-1,0.085
18,2,3,2,-6,1,2,2,2,0.09
19,-4,0,0,7,-1,-4,-3,-3,0.095
20,3,4,3,7,5,5,5,2,0.1
21,1,0,1,-1,2,3,1,1,0.105
22,-7,-6,-8,-11,-8,-7,-9,-7,0.11
23,0,-6,-4,-5,-2,-3,-2,-3,0.115
24,2,2,0,-1,3,1,2,2,0.12
25,1,3,3,4,2,3,3,2,0.125
26,-5,-4,-1,-4,-6,-6,-6,-4,0.13
27,-3,-1,-3,-7,-2,-2,-5,-3,0.135
28,1,2,-1,4,3,3,2,2,0.14
29,0,0,-3,20,4,2,2,1,0.145
30,-3,-2,6,-6,-4,-5,-6,-4,0.15
31,0,2,0,-1,-2,-1,-1,-1,0.155
32,2,-7,-5,-10,0,3,2,1,0.16
33,1,2,1,-3,-1,0,0,1,0.165
34,-3,-6,-9,-3,-5,-6,-3,-4,0.17
35,-1,0,1,-2,0,-1,0,-1,0.175
36,3,5,6,0,0,0,2,2,0.18
37,0,-1,-3,-4,0,1,-1,1,0.185
38,-4,-4,-5,0,-3,-4,-4,-3,0.19
39,0,0,0,-1,-1,-1,-1,0,0.195
40,-1,0,2,5,2,2,-1,-1,0.2
41,-1,-3,-1,-16,-2,-2,0,0,0.205
42,1,-1,-1,10,-1,-1,-2,-2,0.21
43,-1,-2,-1,2,-1,-1,-1,-1,0.215
44,1,3,3,-3,-2,-2,0,-2,0.22
45,-1,-3,-5,-4,-3,-2,-2,-1,0.225
46,-2,-2,-2,-6,-2,-1,-1,-1,0.23
47,-1,-2,-2,0,-1,-2,0,-1,0.235
48,0,1,2,0,2,0,0,2,0.24
49,-1,1,4,6,0,1,-1,-1,0.245
50,-1,-1,-4,-6,0,0,0,-1,0.25
51,-2,-1,-1,-2,-3,-1,-1,-2,0.255
52,0,2,-3,-1,1,-1,0,0,0.26
53,-2,-1,-2,5,-4,-2,-2,0,0.265
54,-2,-2,-2,-6,-2,0,0,-1,0.27
55,1,-1,-2,1,1,-1,-1,-2,0.275
56,-1,-1,0,1,0,0,-1,0,0.28
57,0,0,1,-6,-3,-2,-1,-3,0.285
58,-2,0,-1,4,0,-1,-1,-2,0.29
59,-2,1,-1,-2,0,-1,-1,0,0.295
60,-1,-1,-3,0,-3,-1,-1,0,0.3
61,-1,0,1,1,2,-1,-1,0,0.305
62,-1,1,2,-2,-2,-1,0,-1,0.31
63,1,-2,-2,-1,1,0,-1,-1,0.315
64,-1,0,1,4,1,2,0,0,0.32
65,0,-2,-2,-8,-3,-2,-1,-1,0.325
66,-1,-1,-3,-3,-1,0,0,0,0.33
67,-2,0,1,2,0,0,1,0,0.335
68,-1,-1,0,4,-1,-1,0,-2,0.34
69,0,-1,-1,-3,-1,-2,-2,-1,0.345
70,-1,-2,-2,0,0,0,-1,-2,0.35
71,0,0,0,4,-1,1,0,0,0.355
72,-2,-1,1,-2,1,0,0,0,0.36
73,-2,-2,-3,-1,-1,-1,-2,-2,0.365
74,1,-1,-3,-5,0,-1,-1,-3,0.37
75,1,-1,0,5,1,1,0,1,0.375
76,0,-1,1,3,2,-1,2,1,0.38
77,-2,-2,-2,-4,-1,-4,-1,-3,0.385
78,-1,2,-2,8,0,0,0,0,0.39
79,-1,0,-1,-2,1,1,1,0,0.395
80,0,0,-5,-4,0,0,-1,-1,0.4
81,-2,-1,-4,-1,-4,-2,-1,-3,0.405
82,0,-2,-2,-9,-3,-1,0,1,0.41
83,0,0,-2,-8,0,1,0,0,0.415
84,1,1,1,7,1,0,0,0,0.42
85,-2,-2,1,4,-2,-3,-2,-2,0.425
86,1,2,4,0,1,0,1,0,0.43
87,0,-1,-3,-5,-1,-2,-1,0,0.435
88,1,0,-3,-4,-1,-1,1,1,0.44
89,-2,-5,-4,7,-2,-1,-2,-2,0.445
90,0,-1,-3,1,-1,-1,-1,-2,0.45
91,1,1,7,6,0,1,1,0,0.455
92,0,1,0,-12,-2,0,-2,0,0.46
93,-1,-2,0,-2,-2,-3,-2,-2,0.465
94,-1,-2,-2,3,-2,-1,-2,1,0.47
95,-1,-1,-1,-7,-1,0,0,-1,0.475
96,-1,0,1,3,-3,0,-1,-1,0.48
97,-2,-3,-4,0,-1,-2,-2,-1,0.485
98,-1,-2,0,-5,0,1,0,-1,0.49
99,0,0,0,-5,-1,0,0,0,0.495
100,0,0,3,14,2,0,0,0,0.5
101,-1,-2,-3,1,-1,-4,-2,-2,0.505
102,-1,0,-2,-2,-1,-1,0,-1,0.51
103,-1,0,1,-3,0,-1,0,0,0.515
104,0,1,2,14,5,2,0,0,0.52
105,-1,-2,-1,-14,-4,-1,-3,-1,0.525
106,-1,-3,-1,1,0,-1,-2,0,0.53
107,1,-1,1,2,2,0,0,0,0.535
108,0,0,-1,-7,-1,-1,-1,-1,0.54
109,-2,2,-5,-4,-2,-3,-3,0,0.545
110,1,-6,-6,-19,-2,-1,-1,0,0.55
111,0,0,4,37,4,0,-1,0,0.555
112,0,-1,-3,-6,-2,0,0,-1,0.56
113,-1,0,6,3,-1,-3,0,-1,0.565
114,-2,0,0,-11,-5,-3,-1,-1,0.57
115,0,0,-7,-1,7,4,2,-1,0.575
116,-3,-2,3,2,-2,0,-1,0,0.58
117,-1,-3,-1,-2,-2,0,-2,-3,0.585
118,1,2,3,5,-2,-1,1,-1,0.59
119,1,0,-3,-14,-7,-3,0,1,0.595
120,1,-2,-1,8,1,0,-1,-1,0.6
121,-2,-2,-3,-5,-2,0,0,-2,0.605
122,0,0,2,6,1,0,-2,-1,0.61
123,-2,2,-1,-2,-2,0,-1,1,0.615
124,0,-2,-4,-9,-1,-1,-1,0,0.62
125,-1,-3,-2,-3,-1,-3,-3,-1,0.625
126,0,1,-2,7,1,1,1,1,0.63
127,-1,-1,1,-5,-1,0,0,0,0.635
128,0,-1,-5,-6,-2,0,-2,-2,0.64
129,-2,-2,1,12,1,-2,-3,-3,0.645
130,0,-1,2,2,1,-1,0,0,0.65
131,-1,0,-2,-3,-1,-1,0,-1,0.655
132,-2,1,-1,-10,-3,0,0,2,0.66
133,-1,-1,-3,-2,-3,-2,-1,-3,0.665
134,-2,-2,-2,-7,-1,0,1,-1,0.67
135,-1,-2,0,13,1,-1,1,0,0.675
136,0,0,4,3,3,-2,0,-1,0.68
137,-2,-3,-1,-5,-2,-1,-1,-1,0.685
138,-1,0,2,2,-2,-2,0,0,0.69
139,0,-2,-1,-10,-2,-1,0,1,0.695
140,0,1,0,2,1,2,0,0,0.7
141,-3,-1,-2,3,-2,-3,-3,-2,0.705
142,-2,-1,0,-2,1,0,-1,-1,0.71
143,-1,1,0,-1,-1,1,-1,-2,0.715
144,0,1,-1,-3,-1,0,1,1,0.72
145,-2,-1,-3,-1,-1,-2,-1,-1,0.725
146,-2,2,0,-2,-1,-1,-1,-2,0.73
147,0,-1,2,11,2,0,-1,-2,0.735
148,1,0,-1,1,-1,1,1,-1,0.74
149,-1,0,-3,-7,-1,-1,-1,0,0.745
