slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,-7,-6,-10,-10,-11,-10,-11,-8,0
1,-3,-3,-3,-5,-2,-2,-4,-3,0.005
2,2,3,4,4,5,2,2,4,0.01
3,1,1,1,3,3,2,3,0,0.015
4,-4,-4,-3,-6,-5,-7,-4,-4,0.02
5,-2,-3,-5,-2,-2,-3,-4,-1,0.025
6,1,0,-1,0,-1,2,1,1,0.03
7,1,0,3,1,3,3,2,2,0.035
8,-4,-4,-2,-3,-5,-5,-4,-1,0.04
9,-4,-2,-2,-2,-7,-1,-3,-3,0.045
10,2,2,4,3,9,3,3,0,0.05
11,0,-1,-2,0,0,2,1,0,0.055
12,-1,-2,-4,-5,-5,-5,-4,-4,0.06
13,-1,0,2,-1,-2,-3,-1,0,0.065
14,1,1,-3,0,-3,2,1,1,0.07
15,-3,-1,2,-2,0,-1,0,-1,0.075
16,-3,-2,-11,-3,-3,-4,-3,-3,0.08
17,1,0,5,0,-1,-1,0,-1,0.085
18,0,1,4,1,1,1,0,0,0.09
19,-1,-2,-4,-1,-1,-2,-2,-1,0.095
20,-1,0,1,-1,0,0,-2,-2,0.1
21,0,-1,-6,-2,1,-1,-2,0,0.105
22,-1,0,-2,-1,-2,-1,-1,0,0.11
23,-1,-1,-2,-2,-2,-2,-1,-2,0.115
24,3,2,4,3,6,4,5,3,0.12
25,4,4,3,5,6,6,4,4,0.125
26,-6,-8,-7,-8,-9,-7,-7,-8,0.13
27,-3,-3,-4,-1,-3,-2,-2,-2,0.135
28,1,1,2,2,1,3,0,1,0.14
29,2,4,4,2,4,4,5,3,0.145
30,-3,-3,-5,-4,-6,-7,-7,-4,0.15
31,-3,-3,-2,-4,-4,-4,-3,-3,0.155
32,1,1,-1,1,1,1,1,1,0.16
33,3,1,4,3,4,3,2,2,0.165
34,-4,-4,-1,-5,-5,-5,-3,-3,0.17
35,-3,-5,-3,-3,-3,-3,-3,-3,0.175
36,1,0,2,2,2,1,2,1,0.18
37,0,1,0,1,0,2,1,1,0.185
38,-4,-3,-3,-5,-4,-3,-4,-3,0.19
39,0,-1,-2,-2,-2,-3,-3,-3,0.195
40,-1,3,7,3,2,0,1,2,0.2
41,-1,-1,-7,-2,-2,0,-1,0,0.205
42,-4,-3,-7,-4,-3,-2,-3,-3,0.21
