slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,-4,-6,-8,-5,-5,-5,-7,-5,0
1,3,3,5,4,5,5,3,4,0.005
2,5,5,6,8,7,7,8,6,0.01
3,-5,-4,-8,-7,-8,-8,-7,-5,0.015
4,-4,-5,-5,-7,-4,-4,-5,-5,0.02
5,0,6,4,2,1,1,0,0,0.025
6,5,1,8,6,7,8,6,7,0.03
7,-4,3,-9,-9,-13,-8,-6,-5,0.035
8,-4,-13,-7,-2,3,-3,-3,-4,0.04
9,0,0,-2,1,2,2,1,0,0.045
10,3,6,8,5,6,7,6,5,0.05
11,-4,2,-4,-3,-4,-4,-4,-5,0.055
12,-2,0,-4,-4,-7,-6,-3,-5,0.06
13,2,2,1,1,2,3,2,2,0.065
14,2,-1,1,3,5,4,4,1,0.07
15,-4,-9,-3,-6,-7,-7,-6,-5,0.075
16,-3,0,-2,-3,-4,-2,-3,-3,0.08
17,2,-3,0,0,1,1,1,2,0.085
18,1,3,3,2,0,2,1,1,0.09
19,-2,-8,-4,-5,-2,-3,-5,-5,0.095
20,-1,2,1,1,-3,-3,0,-2,0.1
21,0,0,2,2,0,0,1,-1,0.105
22,0,-2,-2,2,1,-1,0,0,0.11
23,-4,-2,-1,-3,-2,-2,-3,-2,0.115
24,-1,-1,-3,-2,0,0,-2,-1,0.12
25,0,-2,-1,-1,1,0,1,-1,0.125
26,-7,-7,-9,-9,-10,-11,-9,-7,0.13
27,-3,-2,-4,-5,-5,-4,-5,-3,0.135
28,2,1,4,2,1,4,4,2,0.14
29,2,12,4,4,7,4,3,3,0.145
30,-6,-18,-8,-5,-9,-7,-7,-5,0.15
31,-5,-10,-11,-5,-5,-4,-3,-4,0.155
32,2,2,3,2,2,3,2,2,0.16
33,1,1,3,4,3,3,3,2,0.165
34,-3,4,-3,-6,-4,-3,-3,-5,0.17
35,-1,0,-1,-6,-5,-4,-5,-3,0.175
36,1,-2,2,2,3,2,1,1,0.18
37,1,3,3,2,-1,2,1,0,0.185
38,-4,-10,-3,-3,-3,-5,-5,-3,0.19
39,-3,3,-2,-2,-3,-3,-1,-3,0.195
40,1,3,2,3,3,1,1,1,0.2
41,1,-1,-1,1,1,1,0,-1,0.205
42,-3,-2,-4,-7,-4,-4,-5,-3,0.21
43,-2,-1,1,2,0,0,0,-1,0.215
44,1,1,0,2,3,2,2,2,0.22
45,-1,-4,-2,0,-3,-2,-1,-1,0.225
46,-1,0,-3,-4,-2,-4,-2,-3,0.23
47,0,-3,-1,-3,0,-2,-1,-1,0.235
48,1,9,2,0,1,1,2,0,0.24
49,-2,-19,-3,-1,1,1,-2,-1,0.245
50,0,9,0,-1,-1,-1,0,-1,0.25
51,-1,-11,-5,-2,-4,-1,-2,0,0.255
52,0,-3,-1,-1,-1,-1,-1,-2,0.26
53,-1,2,-1,-2,-2,-1,0,-2,0.265
54,-1,3,-2,0,-4,-2,-3,-2,0.27
55,-1,0,0,-3,-1,-1,0,0,0.275
56,-1,-1,2,0,-1,-1,-1,-1,0.28
57,-2,0,0,-1,0,-1,-2,0,0.285
58,-2,-2,-2,-1,0,-1,-2,-1,0.29
59,0,4,2,-2,0,0,-1,-1,0.295
60,-1,-4,-1,-1,-1,0,-1,0,0.3
61,1,5,0,-2,-4,-3,-2,0,0.305
62,0,-9,-3,0,-2,-1,1,0,0.31
63,-1,1,1,1,1,-1,1,-1,0.315
64,0,2,0,1,-1,1,0,0,0.32
65,-2,-2,-2,-3,-6,-2,-1,-2,0.325
66,0,1,-2,-3,-2,-1,-1,-2,0.33
67,1,-1,1,1,1,1,0,1,0.335
68,0,-3,-1,2,-3,-3,-1,0,0.34
69,-2,7,0,0,3,0,1,-1,0.345
70,-4,-17,-6,-3,-2,-2,-1,-2,0.35
71,0,2,1,-1,0,0,1,0,0.355
72,-1,-1,-1,-2,-4,-1,0,0,0.36
73,-1,-1,-2,-2,-1,-1,-1,0,0.365
74,1,7,4,0,1,1,-1,0,0.37
75,1,4,2,1,0,1,0,-1,0.375
76,-2,-9,-7,1,1,1,1,-1,0.38
77,0,-4,-2,-1,-1,-5,-3,-2,0.385
78,0,3,2,0,0,0,-1,-2,0.39
79,0,2,1,-1,0,1,1,-2,0.395
80,0,2,0,0,0,0,0,1,0.4
81,-2,-3,-3,-3,0,-2,-2,-2,0.405
82,0,1,-2,1,-1,-1,0,0,0.41
83,1,1,1,3,1,1,0,-1,0.415
84,0,0,0,-1,-5,-3,0,0,0.42
85,-2,-4,-3,0,5,1,-1,-1,0.425
86,-1,1,-1,-2,-2,-1,-1,0,0.43
87,0,0,-1,1,0,-1,0,1,0.435
88,-1,-1,3,1,1,0,1,0,0.44
89,-2,-2,-3,-5,-7,-2,-2,-3,0.445
90,-1,3,0,0,0,-1,1,0,0.45
91,-2,-2,-2,0,0,0,0,0,0.455
92,1,1,0,0,0,0,-1,-1,0.46
93,-3,-2,-2,-4,-4,-4,-2,-3,0.465
94,0,-3,1,3,1,-1,0,-1,0.47
95,0,10,-2,0,-2,-1,0,0,0.475
96,0,3,1,0,6,2,2,0,0.48
97,0,-1,-2,-2,-5,-3,-2,-1,0.485
98,-1,-2,-7,-2,-1,0,-1,0,0.49
99,1,1,1,-1,1,1,-1,-1,0.495
100,-1,1,0,-2,2,0,-1,-1,0.5
101,-2,3,-1,0,-4,-2,-2,-2,0.505
102,-1,3,1,0,1,1,-1,0,0.51
103,0,-5,-1,0,-1,0,1,1,0.515
104,-1,0,-3,-15,1,-1,0,0,0.52
105,-2,-5,2,29,2,-3,-1,-2,0.525
106,0,0,1,1,0,-1,0,-1,0.53
107,0,-4,-1,0,-1,-1,-2,0,0.535
108,0,-1,-2,-2,-6,-2,-1,1,0.54
109,0,-2,-3,-11,-2,-2,-1,-1,0.545
110,-1,0,-1,0,1,0,-1,-1,0.55
111,-1,-1,0,-1,-1,1,-1,0,0.555
112,1,-2,0,1,0,1,-1,0,0.56
113,-3,7,-2,-7,-3,-3,-3,-1,0.565
114,-1,-11,-6,-1,-1,-1,0,0,0.57
115,1,-3,2,0,2,1,0,0,0.575
116,-1,0,0,4,-2,-1,-1,0,0.58
117,-1,-1,-2,-4,-3,-3,-1,-3,0.585
118,0,4,2,-3,0,0,-1,-2,0.59
119,0,4,1,-2,1,0,1,-1,0.595
120,-1,-15,-3,3,3,0,-1,-1,0.6
121,-2,-4,-3,-5,-5,-2,-3,-1,0.605
122,0,1,0,-3,-6,-4,1,-1,0.61
123,0,-1,0,6,10,2,1,1,0.615
124,-1,1,1,-10,1,2,1,1,0.62
125,-3,-6,-7,4,-5,-2,-3,-3,0.625
126,0,1,1,2,2,2,-1,0,0.63
127,-1,2,0,-1,-2,-1,0,0,0.635
128,0,5,3,3,2,0,0,0,0.64
