slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,0,0,-1,-1,-3,-3,-1,-1,0
1,-1,-1,-2,0,-1,0,-1,-1,0.005
2,-2,-2,-1,-1,-2,-4,-2,-1,0.01
3,-2,-1,-1,0,1,6,-1,-2,0.015
4,-1,0,0,1,1,2,1,-1,0.02
5,0,-1,-1,-2,-1,-3,0,-1,0.025
6,1,1,0,-1,-3,-2,-2,0,0.03
7,0,-2,-1,-1,-1,-1,0,1,0.035
8,0,0,0,0,-1,-1,-1,-1,0.04
9,0,-1,-1,1,0,-1,-1,-2,0.045
10,-1,0,-1,0,0,-3,-3,0,0.05
11,0,0,0,-1,-1,-2,-1,0,0.055
12,-1,0,-1,2,1,0,0,0,0.06
13,-1,-1,-1,-3,-3,2,-1,0,0.065
14,-2,0,-1,0,-1,1,0,-1,0.07
15,-1,-1,-1,-3,-11,-8,-1,0,0.075
16,-2,-1,-2,-1,12,3,-3,-1,0.08
17,-1,-1,1,0,-3,-2,-1,0,0.085
18,-1,-1,-2,-2,1,2,0,-1,0.09
19,-1,-1,0,-2,-1,-1,0,0,0.095
20,-1,-2,-1,-3,-9,-3,-1,-1,0.1
21,-1,0,-1,0,-3,0,0,-2,0.105
22,-1,1,-1,-1,2,-2,-2,-2,0.11
23,-2,-1,0,2,1,1,0,-3,0.115
24,-1,0,0,1,2,-2,0,-1,0.12
25,-1,-2,-2,-2,-2,-1,0,-2,0.125
26,1,-1,-2,2,1,-1,-2,-1,0.13
27,-2,-2,-1,-2,-1,-1,-2,-2,0.135
28,0,-2,-2,-3,-1,1,-1,-2,0.14
29,0,0,0,2,4,3,1,0,0.145
30,0,0,0,-1,-2,1,0,0,0.15
31,0,-1,-1,-1,0,-2,-2,0,0.155
32,-2,-2,0,-2,-1,-4,0,0,0.16
33,-1,-1,-1,-3,-4,-6,-2,-1,0.165
34,-1,-1,-2,-1,-4,0,0,-2,0.17
35,-2,1,-1,1,5,2,1,0,0.175
36,-1,-1,2,0,5,2,1,-1,0.18
37,-1,-2,0,-1,-2,1,-1,-1,0.185
38,1,-1,2,0,-2,-1,-2,-2,0.19
39,-1,1,0,-1,-3,-2,-2,-1,0.195
40,-1,0,0,-1,0,-1,-1,-2,0.2
41,-1,0,0,0,-1,-1,-1,-1,0.205
42,0,1,-1,-1,1,-2,-2,0,0.21
43,-1,-2,-1,-1,-1,0,0,-3,0.215
44,-1,-2,-2,-1,-1,-1,-1,0,0.22
45,-1,-1,0,0,-1,-2,-3,-1,0.225
46,-2,0,-2,-2,-2,-1,-1,-1,0.23
47,-1,-2,-2,-2,-1,0,0,0,0.235
48,-1,-1,-2,0,-2,-5,-1,1,0.24
49,-1,-2,-1,-3,0,5,0,-1,0.245
50,0,-2,-1,-1,3,5,1,0,0.25
51,1,0,-1,0,0,0,-2,0,0.255
52,0,0,-1,-1,-2,-1,-2,0,0.26
53,-1,0,-1,1,-3,-4,0,-1,0.265
54,-1,-1,-1,-3,-5,-6,-2,-1,0.27
55,-1,-1,-1,0,-3,-2,0,0,0.275
56,0,0,-1,1,6,1,0,-1,0.28
57,0,0,-1,-1,-1,1,1,-1,0.285
58,-3,-2,-1,-3,-2,-1,0,-3,0.29
59,1,-1,0,-1,-5,-1,-1,0,0.295
60,-1,0,-1,-1,-6,-1,-2,-2,0.3
61,-1,-2,-1,0,0,-3,-2,0,0.305
62,-2,-2,-2,0,0,0,-1,-2,0.31
63,0,0,0,0,-1,0,1,-2,0.315
64,0,-1,-2,1,1,1,0,-1,0.32
65,0,0,0,0,-2,-1,0,-1,0.325
66,-1,-1,-2,0,-1,-4,-1,0,0.33
67,-2,-2,0,-3,-2,-4,-3,-2,0.335
68,1,-2,0,-2,-3,-3,-1,-2,0.34
69,-1,-1,-2,-1,2,6,1,-1,0.345
70,0,-2,0,4,1,-1,1,1,0.35
71,-1,-1,-1,1,2,1,2,0,0.355
72,0,-1,-2,0,-5,-5,0,0,0.36
73,-2,-1,-1,-7,-9,-6,-2,-1,0.365
74,1,1,-3,1,11,5,-1,0,0.37
75,1,-1,0,3,-4,-1,0,0,0.375
76,-1,-1,0,2,10,3,0,0,0.38
77,-1,-1,-2,-5,-5,-5,-1,-2,0.385
78,-1,-1,0,-2,-2,-2,-1,-1,0.39
79,-1,0,-1,-1,-4,-3,-1,-1,0.395
80,-2,0,-1,0,-3,-2,0,-1,0.4
81,0,-1,0,1,-1,1,-2,0,0.405
82,0,-2,-1,-3,-4,-5,-2,0,0.41
83,0,-1,-1,0,3,4,3,0,0.415
84,-2,-1,0,-2,-3,0,0,-1,0.42
85,1,1,-2,-1,0,-4,-3,-3,0.425
86,0,-1,-1,-1,-4,4,0,0,0.43
87,1,0,1,-1,0,-1,1,-2,0.435
88,0,-1,-1,0,0,1,0,0,0.44
89,-1,1,-2,1,2,-1,0,1,0.445
90,-3,0,-2,-2,-3,-4,-2,-2,0.45
91,0,-2,-1,-3,-1,0,-2,1,0.455
92,1,-1,-1,-2,-3,-2,0,-1,0.46
93,0,0,-1,1,-7,-5,-1,1,0.465
94,0,-1,0,-1,9,5,1,0,0.47
95,-1,-1,-2,1,3,0,-1,1,0.475
96,0,1,0,-4,-6,-3,0,0,0.48
97,1,-1,0,-2,-5,0,-1,-2,0.485
98,0,-1,0,3,-1,-2,-1,0,0.49
99,-2,-1,-1,4,2,-1,0,1,0.495
100,1,-1,0,-2,4,-1,-2,-1,0.5
101,-1,-1,-1,-1,-2,-2,0,-1,0.505
102,-2,1,-1,-3,0,0,0,-1,0.51
103,1,-1,1,-2,1,-3,-2,-2,0.515
104,-1,0,-1,0,-3,-4,-2,0,0.52
105,-1,-2,0,-1,5,3,2,-1,0.525
106,0,-2,-1,-1,-2,-1,-1,0,0.53
107,-2,-2,-1,-1,-3,-2,-1,-1,0.535
108,-2,-2,1,0,-1,0,-2,-1,0.54
109,0,0,0,0,4,-2,-1,-1,0.545
110,-2,0,0,-1,-5,-3,-2,-1,0.55
111,-2,0,0,-2,-1,1,0,-2,0.555
112,0,0,-1,0,-2,2,1,0,0.56
113,0,1,-1,2,3,-1,-3,0,0.565
114,-1,0,-1,-1,4,1,1,-2,0.57
115,2,0,-1,-2,-2,-2,-1,-1,0.575
116,-2,-1,-1,-2,-3,0,0,0,0.58
117,-1,-1,-1,0,0,1,-2,-1,0.585
118,-2,-2,-2,-2,-6,-5,-2,-3,0.59
119,-2,-2,-2,-3,0,-2,-1,-1,0.595
120,-1,-1,0,-2,-1,-4,-2,-2,0.6
121,0,-1,0,0,-1,3,2,2,0.605
122,0,-2,0,-3,-1,-1,-1,2,0.61
123,-1,-2,-1,3,0,-3,-1,-2,0.615
124,0,-1,-2,3,3,5,-2,-1,0.62
125,0,-1,0,-1,0,-1,0,-1,0.625
126,0,-1,-1,1,-1,-2,-2,-1,0.63
127,-1,-1,-2,-6,-3,-2,-2,-2,0.635
128,0,-1,-2,-1,0,0,0,0,0.64
129,0,-1,0,0,0,-1,-1,1,0.645
130,0,-1,-1,-3,-4,0,-1,-1,0.65
131,1,0,-1,0,-2,0,-3,-1,0.655
132,-1,0,0,-1,-3,-3,0,-1,0.66
133,-1,-2,-3,0,-3,0,-1,-1,0.665
134,-1,-1,-1,0,7,-1,0,0,0.67
135,-2,0,1,1,-2,0,-2,0,0.675
136,-3,-1,-1,-2,-1,2,-1,-1,0.68
137,-1,-1,-1,1,7,0,0,0,0.685
138,-2,-2,-1,-1,-7,-5,-2,-1,0.69
139,-1,-2,-1,-2,2,4,0,0,0.695
140,1,-1,1,-1,1,1,-1,0,0.7
141,0,-1,-1,-1,-4,-3,-1,-1,0.705
142,-4,-2,0,0,0,-4,-1,0,0.71
143,-1,0,-1,-2,-1,2,1,-1,0.715
144,-2,-1,-2,0,-1,-5,-2,-1,0.72
145,0,-1,-2,0,1,2,-1,-1,0.725
146,0,1,-1,-3,-3,-3,-1,0,0.73
147,0,0,-2,2,0,-2,1,-1,0.735
148,1,0,-1,-1,-2,-2,0,-1,0.74
149,-1,1,-1,0,-3,-3,0,0,0.745
150,1,1,-2,0,4,4,3,0,0.75
151,-1,1,-1,1,3,4,0,0,0.755
152,-1,0,-1,0,-2,-2,-2,0,0.76
153,-1,-1,1,-1,2,-2,-1,1,0.765
154,0,-1,-3,-4,-7,-6,-2,-2,0.77
155,1,-1,0,-4,-2,-1,0,0,0.775
156,1,-1,-1,2,-1,3,0,0,0.78
157,-3,-1,-1,-1,6,1,0,-1,0.785
158,-1,0,1,0,-3,-2,0,-1,0.79
159,-1,-1,0,-1,-2,-4,-2,-1,0.795
160,0,-1,-1,-1,1,-3,-1,0,0.8
161,0,-1,-2,-2,-4,0,0,-1,0.805
162,0,0,0,0,2,0,-2,-1,0.81
163,-1,0,-1,0,-3,-5,-2,-2,0.815
164,-2,-1,0,-1,-2,6,0,-3,0.82
165,-1,-1,-1,-1,-2,0,-1,2,0.825
166,-1,0,-1,2,1,1,-1,-1,0.83
167,-2,0,-1,-3,-4,-4,-1,0,0.835
168,0,-1,-1,0,1,-1,-2,-1,0.84
169,1,-1,0,1,0,2,2,-1,0.845
170,-1,-3,0,-2,-3,1,-1,-1,0.85
171,1,-2,0,-1,-1,-2,-1,0,0.855
172,-2,0,-1,-1,1,-3,-1,-1,0.86
173,-1,-1,-1,-3,-3,-1,-2,-3,0.865
174,1,1,1,2,2,-2,-1,2,0.87
175,-1,0,-1,-2,-1,1,-1,0,0.875
176,0,-1,0,-2,-1,-2,-2,-2,0.88
177,-1,-1,-1,0,-6,-4,-2,0,0.885
178,-2,-1,-1,-2,2,3,0,0,0.89
179,0,0,0,3,8,2,-1,-1,0.895
180,-1,0,-1,-4,-7,-5,-1,-1,0.9
181,0,0,-1,-1,0,-3,-2,-2,0.905
182,0,-2,-1,-2,-2,0,1,0,0.91
183,-1,-1,0,-1,-1,1,1,-1,0.915
184,0,-2,0,-1,-2,-1,0,-2,0.92
185,1,-1,0,-1,-1,-1,-2,-1,0.925
186,-2,-3,0,0,-1,1,-1,0,0.93
187,-1,-2,0,0,-1,-2,-1,-2,0.935
188,-1,-1,-1,-1,1,1,1,2,0.94
189,-1,-1,-2,-2,-3,-3,-1,-1,0.945
190,-1,1,0,-1,-2,0,1,0,0.95
191,0,-2,-1,0,-2,-1,-4,-1,0.955
192,-2,-2,-3,0,-2,-4,-1,-1,0.96
193,-2,1,0,0,3,4,1,0,0.965
194,0,0,0,1,1,2,0,-1,0.97
195,-2,-2,-2,-4,-4,-1,0,-2,0.975
196,0,1,-2,-1,-2,-1,-1,0,0.98
197,0,0,-1,0,5,1,0,0,0.985
198,1,-1,0,0,-3,-1,-1,-1,0.99
199,1,0,-1,-1,-1,-2,-1,1,0.995
200,-2,-1,0,-1,-1,0,1,-1,1
201,-3,0,-1,-2,-4,-1,-1,-2,1.005
202,0,0,0,0,-1,-2,-2,-1,1.01
203,-1,0,-1,-3,-5,-2,0,-2,1.015
204,0,-1,-1,-2,-2,2,-2,0,1.02
205,-1,1,0,0,7,2,-1,2,1.025
206,-2,0,-2,0,-3,-1,-1,-1,1.03
207,-2,-1,0,5,2,-2,-1,-1,1.035
208,-2,0,-1,-1,-2,-3,-1,-2,1.04
209,0,-4,-2,-1,-3,-1,-1,-2,1.045
210,-1,1,-1,0,1,4,2,-1,1.05
211,-1,0,-1,-2,0,-1,2,0,1.055
212,-1,0,-2,-2,-3,-2,0,1,1.06
213,0,-2,-2,-2,-5,-4,-2,-2,1.065
214,0,-2,0,-2,0,-1,-3,-2,1.07
215,0,-1,-2,-2,-2,1,-1,0,1.075
216,0,-1,1,0,3,0,0,-1,1.08
217,-1,-1,1,-1,-4,-4,-1,-1,1.085
218,-2,0,-3,-2,-3,-3,-3,1,1.09
219,-2,-1,-1,-1,1,1,-2,-2,1.095
220,0,-1,-1,-3,-2,-2,-1,-3,1.1
221,0,0,-2,0,-1,1,-1,-2,1.105
222,0,-1,0,1,2,1,0,-1,1.11
223,-1,1,0,0,0,-1,1,0,1.115
224,0,0,-2,1,2,0,0,0,1.12
225,-1,-3,0,-2,-5,-1,-2,0,1.125
226,-1,-1,-1,-1,-3,-2,0,-2,1.13
227,0,-1,-1,-1,2,2,0,1,1.135
228,1,0,-1,-1,-4,-2,-2,-1,1.14
229,-1,-1,-1,-3,0,1,-1,-1,1.145
230,0,0,0,6,6,0,0,-2,1.15
231,-1,-3,-2,-5,-2,-6,-3,-1,1.155
232,-2,-2,0,-1,2,4,0,0,1.16
233,-2,1,-1,2,1,0,0,-1,1.165
234,-2,-1,-4,-3,-2,-3,-2,-2,1.17
235,-2,-2,-2,-1,-4,2,1,-1,1.175
236,-1,-1,-2,0,1,-2,0,-2,1.18
237,-1,-2,-2,-2,-3,-3,0,0,1.185
238,-1,-2,-1,-4,-4,-1,-2,-1,1.19
239,-1,0,0,3,1,-2,0,0,1.195
240,-1,-2,-1,0,-2,1,0,0,1.2
241,0,-1,0,0,-4,-3,-1,-1,1.205
242,1,-1,0,-1,-1,-1,-1,-1,1.21
243,1,0,-1,-1,-2,-1,-1,0,1.215
244,1,1,-2,0,-2,0,1,0,1.22
245,-1,0,0,0,7,-1,-2,-2,1.225
246,-2,0,-1,-2,-5,-3,-1,0,1.23
247,-3,0,-1,0,2,0,1,-1,1.235
248,-1,1,-1,-1,-4,-3,-1,0,1.24
249,-1,-1,-1,1,0,-2,0,0,1.245
250,2,0,0,-5,-5,0,-3,0,1.25
251,0,0,-2,1,2,0,-2,0,1.255
252,-1,-1,-1,-1,-3,-3,0,0,1.26
253,-1,-2,-1,-1,4,0,-1,-2,1.265
254,-1,-1,-1,2,0,-1,0,0,1.27
255,-2,-1,0,-1,-2,-4,-3,-1,1.275
256,1,-2,0,-3,-2,-1,-2,-2,1.28
257,-2,0,-1,6,1,6,-1,-1,1.285
258,-1,-2,-1,1,5,0,0,1,1.29
259,1,-1,0,-2,-4,-1,-2,-1,1.295
260,-1,-2,-2,-5,-1,-4,-4,-4,1.3
