slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,3,2,4,5,5,5,6,3,0
1,5,7,10,9,8,9,8,7,0.005
2,-5,-7,-8,-7,-8,-8,-7,-7,0.01
3,-5,-6,-5,-6,-6,-6,-5,-4,0.015
4,2,2,0,2,3,2,1,0,0.02
5,6,5,5,7,8,8,8,5,0.025
6,-3,-4,-4,-6,-5,-3,-3,0,0.03
7,-4,-5,-5,-9,-7,-7,-6,-7,0.035
8,0,1,3,13,1,1,0,-1,0.04
9,5,5,6,7,7,8,4,5,0.045
10,-4,-4,-5,-5,-3,-4,-4,-5,0.05
11,-4,-5,-7,-9,-7,-7,-6,-5,0.055
12,2,0,0,-5,0,1,1,1,0.06
13,6,2,5,3,6,4,6,5,0.065
14,-3,-3,-4,5,-3,-4,-5,-3,0.07
15,-4,-3,-4,-3,-4,-4,-4,-4,0.075
16,1,2,1,0,2,2,0,2,0.08
17,2,3,3,2,2,4,3,1,0.085
18,-4,-3,-4,-8,-4,-5,-3,-3,0.09
19,-3,-3,-4,-1,-4,-3,-2,-2,0.095
20,0,1,-1,0,1,0,2,1,0.1
21,1,1,1,2,0,3,2,1,0.105
22,-2,-2,-3,-5,-4,-4,-2,-3,0.11
23,0,-1,-1,1,-1,-2,-2,-2,0.115
24,-6,-5,-5,-6,-7,-6,-6,-5,0.12
25,-4,-5,-6,-7,-9,-7,-5,-7,0.125
26,2,1,4,1,1,3,2,1,0.13
27,5,4,5,7,8,7,6,5,0.135
28,-3,-3,-2,-3,-4,-4,-4,-2,0.14
29,-5,-5,-7,-5,-5,-5,-5,-3,0.145
30,0,0,-1,0,0,0,0,0,0.15
31,5,5,6,6,7,7,6,7,0.155
32,-1,-3,-3,-3,-2,-3,1,-2,0.16
33,-5,-5,-5,-6,-8,-5,-6,-4,0.165
34,0,-1,-1,2,-1,0,0,0,0.17
35,4,5,6,5,5,6,6,5,0.175
36,-3,-2,-5,-9,-3,-3,-4,-3,0.18
37,-4,-4,-3,-4,-5,-7,-6,-7,0.185
38,0,0,1,2,2,0,1,1,0.19
39,3,4,4,5,3,5,5,6,0.195
40,-3,-2,-5,-2,-4,-5,-3,-3,0.2
41,-1,-3,-3,-7,-4,-1,-4,-2,0.205
42,-2,0,0,0,0,1,1,1,0.21
43,2,2,4,3,4,2,1,0,0.215
44,-1,-3,-2,-9,-4,-2,-4,-4,0.22
45,-2,-3,-1,4,-1,-3,-3,-1,0.225
46,1,1,2,4,1,2,1,0,0.23
47,-2,1,-2,1,2,0,1,1,0.235
48,-4,-2,-3,0,-2,-3,-2,-2,0.24
49,-1,-1,-4,-5,-1,-3,-2,0,0.245
50,-1,-1,2,-3,0,-1,0,0,0.25
51,0,0,1,1,1,0,4,0,0.255
