slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,4,2,3,4,1,4,3,2,0
1,-5,-2,-2,-10,-10,-8,-7,-7,0.005
2,-5,-9,-10,-7,-5,-4,-5,-4,0.01
3,3,1,5,6,8,6,2,3,0.015
4,5,11,7,6,7,7,6,7,0.02
5,-5,-5,-6,-6,-6,-7,-6,-4,0.025
6,-5,-8,-6,-6,-5,-5,-3,-5,0.03
7,1,2,3,-3,-1,1,2,2,0.035
8,3,-1,-1,7,6,3,4,3,0.04
9,-3,-1,-3,-2,-4,-5,-5,-4,0.045
10,-2,5,-3,-6,-3,-5,-4,-4,0.05
11,1,-1,2,1,0,0,2,2,0.055
12,2,3,-3,1,4,4,3,2,0.06
13,-3,-6,-3,-1,-8,-6,-4,-4,0.065
14,-4,2,1,0,-4,-3,-3,-4,0.07
15,1,-5,-2,5,5,3,0,-1,0.075
16,1,4,6,-2,0,1,0,1,0.08
17,-4,-4,-6,-7,-8,-4,-4,-3,0.085
18,-1,-2,-1,-2,-5,-3,-3,-2,0.09
19,1,6,1,-1,5,0,1,-2,0.095
20,0,0,4,13,7,3,1,1,0.1
21,-3,-5,-6,-4,0,-2,-2,-2,0.105
22,5,2,2,9,3,3,4,3,0.11
23,3,3,4,5,3,4,3,3,0.115
24,-7,1,-5,-7,-7,-6,-6,-5,0.12
25,-4,-16,-8,-8,-2,-4,-4,-5,0.125
26,1,1,0,4,0,1,2,2,0.13
27,3,3,4,3,-1,2,4,2,0.135
28,-3,-6,-2,-2,0,-3,-4,-5,0.14
29,-2,2,-1,-3,-7,-4,-2,-3,0.145
30,1,4,1,-3,-1,2,0,1,0.15
31,2,2,4,7,4,3,3,2,0.155
32,-3,-4,-3,-6,-6,-5,-6,-3,0.16
33,-2,-6,-8,-3,-3,-3,-3,-4,0.165
34,1,-1,3,-2,3,3,2,-1,0.17
35,1,3,5,1,3,3,3,2,0.175
36,-2,-4,-8,-7,-6,-5,-5,-5,0.18
37,-1,-2,-2,4,-5,-2,-2,-2,0.185
38,-1,0,-1,2,5,1,2,3,0.19
39,2,0,1,2,5,0,0,0,0.195
40,-3,-6,-3,-5,-5,-3,-4,-3,0.2
41,-2,8,1,-8,-4,-2,-2,-1,0.205
42,0,1,2,2,-2,0,0,-1,0.21
43,-1,-6,-6,3,0,-1,1,1,0.215
44,-2,-2,-3,1,1,-2,-1,-1,0.22
45,-1,2,1,1,4,-1,-1,0,0.225
46,0,6,2,-1,-1,0,0,1,0.23
47,0,-2,-1,-3,-2,0,0,0,0.235
48,-3,-6,-5,-5,-4,-3,-3,-2,0.24
49,-1,5,-1,-1,-1,-2,-1,0,0.245
50,0,-5,-1,1,4,0,0,1,0.25
51,0,1,2,-3,-4,-2,-1,1,0.255
52,-1,-3,-1,-1,-3,-2,0,-2,0.26
53,0,-4,-2,-1,0,-1,-2,1,0.265
54,1,-1,0,0,-3,-1,0,-1,0.27
55,-3,0,-3,-2,-1,-1,-1,-1,0.275
56,-2,-4,0,0,-2,-3,0,-2,0.28
57,-1,0,0,-2,-1,0,1,-1,0.285
58,-1,-3,-1,1,-1,-1,-2,-1,0.29
59,-1,1,-2,1,-3,0,-3,0,0.295
60,-1,0,0,3,8,2,2,0,0.3
61,0,-1,-1,-2,-3,0,-1,-1,0.305
62,0,7,2,-1,0,0,-1,0,0.31
63,-1,-15,-3,-3,-5,-2,0,-2,0.315
64,-1,1,-4,-2,-5,-2,-3,0,0.32
65,-1,-1,1,1,1,1,-1,-1,0.325
66,0,0,-4,-3,-4,-2,-2,-1,0.33
67,-1,4,0,1,5,0,-1,-2,0.335
68,0,-2,-1,-3,-8,-2,-1,-2,0.34
69,0,-1,1,1,-2,0,-1,0,0.345
70,-1,-4,0,-1,-2,1,0,0,0.35
71,2,3,0,-4,0,0,-2,-1,0.355
72,-2,-2,-2,-2,-2,0,-3,-1,0.36
73,-2,1,3,-5,-2,-2,-1,-1,0.365
74,0,0,2,4,-3,2,0,0,0.37
75,-2,-4,-4,4,4,-1,-1,-3,0.375
76,0,1,1,0,-1,-1,0,0,0.38
77,-2,-2,-2,-1,-2,-3,-1,-1,0.385
78,0,-2,-3,-2,3,0,1,0,0.39
79,-3,2,0,-6,-8,-2,-2,-1,0.395
80,1,5,-1,0,-3,0,1,0,0.4
81,-2,-18,-8,-1,0,0,0,0,0.405
82,-1,1,-2,-5,-8,-5,-2,-3,0.41
83,-1,1,-2,1,6,1,1,-2,0.415
84,-2,2,1,-1,1,-2,1,-2,0.42
85,-1,6,3,-4,1,0,1,0,0.425
86,-2,-10,-2,4,0,2,0,1,0.43
87,-2,4,-1,-6,-5,-4,-3,-2,0.435
88,-2,-3,-4,-1,-1,0,-1,-1,0.44
89,1,2,-1,4,8,0,-1,0,0.445
90,1,2,0,-2,3,0,-2,-1,0.45
91,0,-2,0,1,-1,-1,-1,-1,0.455
92,-1,-2,-1,-1,-1,-2,0,-1,0.46
93,0,-2,2,1,-6,-3,-1,-3,0.465
94,0,1,0,-4,-2,-1,0,0,0.47
95,-1,-4,-2,0,0,0,-2,0,0.475
96,0,-3,-1,-1,1,0,0,1,0.48
97,1,1,-3,-1,1,1,1,1,0.485
98,-2,3,2,-1,1,0,1,-1,0.49
99,-1,2,1,-4,-6,-4,0,-1,0.495
100,-3,-17,-7,0,-4,-2,0,-1,0.5
101,-1,2,-4,0,0,0,-1,-1,0.505
102,-2,-1,-3,3,0,-2,-1,-1,0.51
103,-1,1,-1,-2,-3,-1,-1,-2,0.515
104,0,5,0,-5,-2,-3,-1,-1,0.52
105,-1,-1,0,6,2,2,-1,0,0.525
106,0,-2,-3,-3,-7,-3,-2,-1,0.53
107,-3,-2,-4,-3,-7,-4,-3,-1,0.535
108,1,4,4,3,0,-1,-3,-1,0.54
109,1,2,-2,-1,1,1,0,-1,0.545
110,-1,3,-1,-1,5,0,-1,-2,0.55
111,-2,-3,-1,-4,-7,-4,-3,-3,0.555
112,1,-1,-2,-1,-1,-2,1,-2,0.56
113,1,3,3,-1,-2,-1,0,1,0.565
114,-1,-3,4,-1,-1,-1,-1,-2,0.57
115,0,-9,-12,3,7,2,-1,-2,0.575
116,-2,4,5,-3,-4,-1,-1,-1,0.58
117,1,4,1,5,-3,0,-1,-1,0.585
118,-1,-12,-9,-6,-4,-3,-2,0,0.59
119,-1,0,2,0,0,-1,-1,0,0.595
120,0,1,-1,3,4,1,1,1,0.6
121,-1,2,-2,-7,-8,-4,-1,-2,0.605
122,0,1,2,2,2,0,0,-1,0.61
123,-3,-2,-1,-1,0,0,-1,0,0.615
124,0,0,-1,-1,-1,1,-1,-1,0.62
125,-1,-2,0,-5,-3,-1,0,-1,0.625
126,0,-2,-2,2,2,1,-1,2,0.63
127,-2,1,-1,2,2,-2,-1,-2,0.635
128,-1,3,3,-2,-4,0,-1,-1,0.64
129,0,-2,1,6,6,2,0,1,0.645
130,-3,-3,0,-5,-4,-2,-2,-3,0.65
131,-1,6,0,-2,3,-1,-2,-2,0.655
132,0,5,0,-2,-5,-2,-2,0,0.66
133,-1,-5,-2,-1,1,1,0,0,0.665
134,-1,-1,-1,1,1,-1,0,1,0.67
135,-1,-3,-3,-5,-6,-2,-2,-2,0.675
136,-1,-1,0,2,1,1,0,0,0.68
137,0,-1,-1,-3,0,0,-2,1,0.685
138,2,4,2,2,0,0,1,-1,0.69
139,-1,-4,-2,-6,-6,-3,-2,-1,0.695
140,0,0,-2,-1,0,-2,-1,-1,0.7
141,-2,3,2,6,4,1,0,-1,0.705
142,-2,-1,-3,-5,-6,-2,-1,1,0.71
143,-1,-2,3,1,0,-1,-1,0,0.715
144,0,-3,-4,-4,0,-1,-1,0,0.72
145,-1,0,1,-4,2,1,2,0,0.725
146,-1,1,2,3,1,0,-1,-1,0.73
147,-1,-3,-5,0,-2,-2,-2,-1,0.735
148,-1,1,2,3,4,2,-1,-1,0.74
149,-1,-4,-2,-4,-10,-3,-1,-1,0.745
150,1,1,-1,-1,3,0,0,0,0.75
151,-1,-2,-1,0,-1,0,-1,0,0.755
