slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,2,19,0,6,4,1,0,1,0
1,0,-16,4,-2,-1,-1,-1,0,0.005
2,-5,0,-9,2,1,0,-1,-2,0.01
3,-2,1,-1,0,4,0,0,-1,0.015
4,-1,-5,-3,-6,-12,-4,-3,0,0.02
5,1,7,1,2,8,1,-1,0,0.025
6,3,1,6,-1,-3,0,0,-1,0.03
7,-1,1,0,-1,-1,-1,-1,0,0.035
8,-2,-23,-4,-1,0,-1,-1,-2,0.04
9,-2,3,-2,3,-5,-2,-2,0,0.045
10,-1,2,0,0,2,-1,-1,-1,0.05
11,-1,-6,-7,-1,6,-1,-2,-1,0.055
12,0,2,3,-1,8,3,1,0,0.06
13,-1,5,4,0,-3,0,-1,-2,0.065
14,0,-4,-9,-3,-2,-2,-3,0,0.07
15,1,13,4,-8,-8,-4,-1,-2,0.075
16,-1,-19,-10,-4,-3,-2,-2,-2,0.08
17,0,10,3,10,-2,-1,0,-2,0.085
18,-2,7,5,0,-1,-1,0,0,0.09
19,0,-6,-4,-1,-3,0,0,0,0.095
20,0,1,2,3,2,2,0,-1,0.1
21,1,3,2,1,0,1,0,1,0.105
22,0,0,-1,-1,-1,-1,1,0,0.11
23,1,-1,0,-2,0,1,-2,0,0.115
24,-3,5,-1,-9,0,-2,-1,1,0.12
25,0,-3,-1,5,-9,-2,-1,-1,0.125
26,1,-4,-1,3,9,2,1,1,0.13
27,-3,3,5,-1,-3,-1,-1,-1,0.135
28,1,-3,-9,6,4,2,-1,-2,0.14
29,0,-1,3,-6,0,-1,-3,-2,0.145
30,-2,-9,-11,-23,-6,-2,-3,-1,0.15
31,-4,-28,-3,25,2,1,1,-1,0.155
32,0,0,6,10,8,2,1,-1,0.16
33,1,11,4,1,4,1,-1,1,0.165
34,0,9,5,-3,-8,-2,2,1,0.17
35,0,14,-6,-15,-5,-3,-2,-5,0.175
36,-2,-8,-3,-8,-7,-2,0,-1,0.18
37,0,-4,-3,1,1,0,0,0,0.185
38,0,11,5,-1,-9,-7,-2,-2,0.19
39,4,7,2,2,12,8,1,2,0.195
40,-1,-1,4,3,-4,1,1,1,0.2
41,0,1,-6,-4,0,-1,-2,-3,0.205
42,0,-13,-5,6,5,2,-1,-1,0.21
43,-4,11,-1,-5,-6,-4,-2,-1,0.215
44,-1,-6,-4,-3,0,-2,-2,-3,0.22
45,-3,-8,3,6,-11,-1,0,-1,0.225
46,-1,-12,-8,-3,1,-1,0,-1,0.23
47,2,7,1,1,-6,-4,0,1,0.235
48,0,0,2,0,5,0,0,0,0.24
49,-5,0,-4,-4,-6,-1,0,-4,0.245
50,0,2,4,15,11,2,0,0,0.25
51,-1,-8,-2,-9,-2,-2,0,-1,0.255
52,-3,20,2,-5,-3,-2,-2,-2,0.26
53,-1,-37,-10,-5,-1,-4,0,-1,0.265
54,-3,-17,-7,1,0,2,-1,-2,0.27
55,-4,-3,-1,-3,-1,-2,1,0,0.275
56,3,11,0,-5,-10,-2,-3,0,0.28
57,0,0,1,1,5,0,0,0,0.285
58,-1,12,4,-4,-6,0,0,-1,0.29
59,0,-10,-5,0,0,-1,-2,-3,0.295
60,-1,-8,-3,-4,-9,-4,-1,-2,0.3
61,1,6,3,4,11,5,1,0,0.305
62,-2,-3,-3,2,3,0,-2,-2,0.31
63,0,3,2,-3,0,0,0,-1,0.315
64,-1,-1,-3,-10,-7,-5,-3,-1,0.32
65,1,14,3,13,7,3,0,-1,0.325
66,3,4,6,-4,-9,-4,0,0,0.33
67,-3,17,-2,5,-8,-1,-1,-1,0.335
68,0,-31,-13,2,4,2,1,-1,0.34
69,-2,0,0,-8,-4,-4,-4,-1,0.345
70,-2,-9,1,2,1,-2,-1,-2,0.35
71,0,13,2,-6,-4,-2,3,3,0.355
72,-4,-5,0,0,-5,-5,-1,-2,0.36
73,0,-4,-2,-6,-5,-1,0,-1,0.365
74,6,19,12,3,6,3,2,4,0.37
75,-4,-17,0,14,-1,-5,-4,-2,0.375
76,-2,-2,-1,-1,1,-3,-3,-3,0.38
77,-1,-3,-5,3,1,1,1,0,0.385
78,1,7,4,2,5,6,6,3,0.39
79,1,-4,-2,-7,3,-1,-3,-1,0.395
80,-1,-1,0,-3,-4,-4,-6,-4,0.4
81,-1,-3,-5,-13,-4,-4,-3,-1,0.405
82,1,3,3,8,1,5,3,5,0.41
83,-4,-11,-6,6,-3,-1,-4,-4,0.415
84,-2,15,4,9,1,-2,-4,0,0.42
85,-2,-20,-4,-15,-4,-2,0,0,0.425
86,3,2,7,7,5,4,4,5,0.43
87,0,11,-5,0,0,-2,-3,-3,0.435
88,-4,-36,-13,-22,-9,-6,-4,-3,0.44
89,1,18,3,15,3,3,2,1,0.445
90,2,3,2,1,4,1,1,1,0.45
91,-2,-8,-1,-5,-3,-2,-4,-2,0.455
92,-2,5,0,-3,-5,-4,-2,-3,0.46
93,1,-1,3,-3,0,-2,1,1,0.465
94,0,-6,-9,-2,2,2,1,1,0.47
95,-2,0,4,-3,1,-3,-2,-2,0.475
96,1,11,2,2,1,3,-1,1,0.48
97,-2,3,1,-1,-1,0,3,2,0.485
98,1,-10,-2,3,1,-1,-1,-1,0.49
99,-3,-9,-7,-6,-1,-1,-1,-2,0.495
100,0,5,2,0,1,-2,-2,0,0.5
101,1,-6,1,2,-2,0,-2,-1,0.505
102,0,32,7,0,-4,0,0,1,0.51
103,-4,-25,-13,-7,2,-3,-3,-2,0.515
104,-2,-10,-7,3,-1,-1,-3,-4,0.52
105,2,17,7,7,8,3,1,-1,0.525
106,-1,-7,0,-4,-2,0,2,-1,0.53
107,0,2,-2,-6,-2,-1,-3,-2,0.535
