slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,-5,-4,-3,-5,-3,-6,-5,-5,0
1,2,1,-4,1,3,3,3,2,0.005
2,3,4,5,6,6,8,8,5,0.01
3,-5,-4,-10,-6,-6,-5,-5,-3,0.015
4,-3,-3,5,-4,-5,-4,-6,-4,0.02
5,1,1,2,0,0,2,2,0,0.025
6,4,3,5,3,1,3,4,3,0.03
7,-2,-1,-3,-3,2,-1,-1,-3,0.035
8,-3,-2,-7,-3,-7,-5,-4,-3,0.04
9,-1,-1,-5,2,2,-1,-2,-1,0.045
10,4,5,6,5,8,5,5,5,0.05
11,-3,-1,-1,-1,-6,-4,-3,-2,0.055
12,-3,-4,-6,-8,-7,-4,-6,-5,0.06
13,1,1,4,-3,-1,0,0,2,0.065
14,1,1,0,4,5,5,3,2,0.07
15,-2,-3,-2,-3,-3,-2,-4,-4,0.075
16,-3,-4,-5,-1,-3,-3,-3,-2,0.08
17,0,0,5,2,2,1,0,0,0.085
18,1,1,-2,2,0,1,0,-1,0.09
19,-3,-3,-3,-5,-6,-5,-3,-4,0.095
20,-2,-1,-1,-2,0,-2,-1,-2,0.1
21,0,-1,0,-1,-2,0,-1,0,0.105
22,3,2,3,3,2,0,2,1,0.11
23,-2,-4,-1,-2,-1,-1,-4,-2,0.115
24,3,2,5,4,6,6,5,4,0.12
25,-1,-3,0,-1,-2,-3,-3,-3,0.125
26,-4,-4,-4,-6,-5,-5,-5,-5,0.13
27,0,0,1,-2,-1,-1,-1,-1,0.135
28,2,2,1,0,1,2,3,1,0.14
29,0,-2,-1,3,1,-2,-2,0,0.145
30,-5,-4,-4,-5,-8,-5,-6,-5,0.15
31,-2,-1,-2,0,9,0,-1,-2,0.155
32,0,2,2,1,-2,1,3,2,0.16
33,-1,-1,1,1,3,1,1,0,0.165
34,-4,-4,-5,-4,-5,-6,-5,-3,0.17
35,-1,-1,2,0,0,0,0,0,0.175
36,3,2,4,1,0,2,3,1,0.18
37,0,-2,-1,-2,-1,-1,-2,-2,0.185
38,-3,-4,-4,-4,-6,-5,-4,-2,0.19
39,1,-1,-3,-2,-4,0,0,0,0.195
40,1,0,2,4,4,3,2,3,0.2
41,-1,-1,-1,-2,-6,-3,-2,-2,0.205
42,-1,-2,-2,0,0,-2,-3,-2,0.21
43,0,0,0,0,0,0,-1,2,0.215
44,1,1,2,1,1,2,1,-1,0.22
45,-3,-2,-7,-3,-6,-3,-3,-2,0.225
46,0,0,0,-2,1,0,0,-1,0.23
47,0,0,-2,1,1,0,1,1,0.235
48,1,-1,-1,-3,-6,-2,0,-2,0.24
49,-1,-1,-1,3,11,1,-1,-1,0.245
50,-1,0,-2,-2,-2,-1,-1,-2,0.25
51,-2,0,0,1,-1,-1,-1,1,0.255
52,0,1,0,1,4,3,1,0,0.26
53,-3,-3,-3,-6,-8,-4,-2,-2,0.265
54,-1,-1,-1,-1,-1,-2,-2,-1,0.27
55,0,0,2,0,1,-1,0,-1,0.275
56,0,-1,0,2,-1,0,-1,0,0.28
57,-1,0,-1,-2,-3,-1,0,-2,0.285
58,-1,-1,-1,0,1,0,0,-2,0.29
59,1,0,1,-1,-4,1,-1,0,0.295
60,-1,0,2,2,4,1,0,1,0.3
61,-1,-2,-2,-3,-4,-1,-1,-1,0.305
62,-2,-2,-1,-1,-1,-2,-2,-1,0.31
63,1,1,0,3,5,2,1,-1,0.315
64,0,1,0,1,0,0,0,1,0.32
65,-2,-2,0,1,4,0,-1,-1,0.325
66,1,-1,-2,-2,-5,-2,-3,-1,0.33
67,-1,-1,0,-2,-4,-1,-1,-2,0.335
68,0,0,0,0,4,1,1,1,0.34
69,-1,-2,0,-5,-4,-4,-1,-1,0.345
70,-1,0,-1,1,1,-1,-2,-1,0.35
71,1,0,-1,0,0,0,1,-1,0.355
72,0,1,-1,0,2,0,1,1,0.36
73,-1,-1,-2,-4,-5,-2,-1,-2,0.365
74,-1,-2,-2,-1,-2,-1,0,0,0.37
75,-1,0,2,0,-2,0,1,0,0.375
76,1,1,0,0,0,-1,-1,0,0.38
77,0,-1,-4,-2,-3,-2,-1,-2,0.385
78,1,-1,3,3,2,0,-1,2,0.39
79,-1,-2,-4,3,4,3,1,-1,0.395
80,1,1,-1,0,0,1,0,1,0.4
81,-2,-2,0,-4,-1,-1,-2,0,0.405
82,-1,0,0,-3,-4,-3,0,-2,0.41
83,0,-1,1,0,-1,-3,0,-1,0.415
84,0,-3,-1,2,3,2,0,-1,0.42
85,-2,1,0,-4,-11,-4,-3,-1,0.425
86,-2,-2,-5,-7,-7,-2,-1,-1,0.43
87,0,-1,0,2,2,1,0,-1,0.435
88,-1,0,-2,3,5,3,1,-1,0.44
89,-2,-1,0,-2,-2,-3,-3,-1,0.445
90,-1,-2,0,-1,3,1,0,-1,0.45
91,0,0,-3,-2,-3,-2,-1,1,0.455
92,0,1,2,-2,-1,-1,-1,-1,0.46
93,-1,-2,-3,-1,-5,-2,-1,-1,0.465
94,-2,0,0,1,4,0,-3,-2,0.47
95,-2,-1,1,-2,0,-3,-1,-1,0.475
96,0,-1,-1,1,2,2,0,0,0.48
97,-2,-3,-3,-3,-1,-3,-1,-1,0.485
98,-2,-1,-3,-2,-2,-1,-1,-2,0.49
