slno,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,Time
0,0,0,-1,0,1,2,-1,-1,0
1,1,-1,-2,2,4,3,0,0,0.005
2,0,0,-1,-2,-2,-3,-1,1,0.01
3,0,-1,-1,-4,-3,-2,0,-1,0.015
4,-1,-2,0,0,3,-1,1,-2,0.02
5,-2,0,0,-2,-5,-8,-3,-1,0.025
6,-2,1,-2,1,2,6,0,0,0.03
7,-1,-4,0,0,-3,2,-1,-2,0.035
8,2,1,-1,-2,-3,-5,0,0,0.04
9,-7,-8,-1,-2,-1,-3,0,-1,0.045
10,3,2,1,-3,-4,-8,-2,-2,0.05
11,-2,1,-2,-2,2,2,-1,0,0.055
12,1,-1,4,1,2,5,0,0,0.06
13,1,2,-1,1,1,-1,0,0,0.065
14,0,-3,0,0,-2,-2,0,0,0.07
15,-2,-2,-2,-1,-7,-7,0,-1,0.075
16,-2,0,-1,-2,3,0,-2,0,0.08
17,0,1,-1,-1,-1,3,-2,0,0.085
18,-2,0,0,1,5,4,1,0,0.09
19,0,0,-2,0,-1,-2,-1,1,0.095
20,-2,-2,-2,-2,-5,-5,0,-1,0.1
21,-1,-1,1,-3,-6,-2,-3,0,0.105
22,-1,7,-1,-1,-1,-2,0,0,0.11
23,2,-7,-1,1,3,3,-1,-1,0.115
24,0,1,-1,-1,1,-3,-1,-2,0.12
25,0,0,1,-1,-1,-2,-1,-2,0.125
26,1,0,-1,0,0,0,1,-1,0.13
27,0,0,-1,-3,-2,-1,0,-1,0.135
28,0,-1,-1,-1,-2,-1,-2,1,0.14
29,-1,1,0,2,0,-1,-2,-1,0.145
30,-2,-1,-1,-2,0,-3,-2,0,0.15
31,-1,-1,-1,0,1,1,-1,-1,0.155
32,-3,0,-3,-2,0,1,2,0,0.16
33,0,-1,-2,-2,-5,-4,-1,0,0.165
34,0,-3,0,0,4,1,-1,0,0.17
35,-2,-1,-1,2,2,0,-1,0,0.175
36,0,-2,-1,-3,-5,0,-3,-1,0.18
37,-1,-2,-1,2,9,2,0,-1,0.185
38,0,1,-1,-3,-16,-11,-1,-1,0.19
39,-1,-1,-3,-1,12,2,-2,-1,0.195
40,0,1,1,4,0,8,1,-1,0.2
41,0,-2,-2,-1,-4,-4,0,-1,0.205
42,-1,-2,-1,-3,1,0,-2,0,0.21
43,-1,-1,-1,-4,-8,-5,-2,-3,0.215
44,-1,-1,0,-3,-1,-8,-3,0,0.22
45,1,0,-1,1,1,6,-1,-1,0.225
46,0,2,0,2,5,6,-1,-1,0.23
47,-6,-7,1,-1,-1,0,1,0,0.235
48,0,-1,0,0,1,-2,0,-1,0.24
49,0,0,-1,-2,-3,-4,-2,-1,0.245
50,0,-4,-2,0,-1,-2,0,-1,0.25
51,1,0,-2,-2,-10,-2,-1,0,0.255
52,-1,-2,-1,-1,6,-1,-1,-3,0.26
53,-2,-1,1,1,-2,0,-1,0,0.265
54,-1,1,-2,1,1,5,1,-1,0.27
55,2,-1,-1,-1,-1,1,0,0,0.275
56,-1,-2,3,2,4,-2,-1,0,0.28
57,1,0,-1,-3,-4,-4,-2,-3,0.285
58,-2,-1,0,-2,3,-1,-1,-1,0.29
59,0,-2,-2,-1,-4,-3,1,-2,0.295
60,0,-2,-1,-1,-2,-5,-2,-1,0.3
61,-1,-1,0,0,5,9,1,0,0.305
62,-1,0,1,0,-3,-3,0,-1,0.31
63,0,0,-2,-1,-2,-5,-1,-1,0.315
64,0,1,-1,0,-2,0,0,-2,0.32
65,-2,-1,-1,-2,1,-1,-1,-1,0.325
66,-1,-2,-1,0,-1,-1,-2,0,0.33
67,-1,0,1,0,1,1,0,0,0.335
68,1,0,-1,-2,-2,-4,-1,-1,0.34
69,2,1,0,-2,-3,-2,-1,-1,0.345
70,-8,-11,-2,-1,2,0,-2,-3,0.35
71,0,2,1,2,3,1,-1,1,0.355
72,-1,0,0,-1,-2,4,1,0,0.36
73,1,0,-1,-2,0,-1,-1,-2,0.365
74,2,4,0,-3,-10,-4,-2,-1,0.37
75,-2,-5,-4,-1,6,-1,-2,-1,0.375
76,-1,-1,-2,1,-4,0,-2,-1,0.38
77,-1,0,-2,0,-4,-6,-1,0,0.385
78,0,2,-1,0,3,2,0,-1,0.39
79,-1,0,-1,0,-4,2,-1,1,0.395
80,1,0,-3,-1,-2,-2,-1,0,0.4
81,-2,-4,-1,-1,3,2,0,-1,0.405
82,0,-1,1,1,-1,-2,-1,1,0.41
83,-1,1,-2,0,0,-3,-2,0,0.415
84,-2,-1,-1,-1,-1,-2,-1,0,0.42
85,0,-1,-2,-2,-7,-6,-3,-1,0.425
86,-1,0,-1,-3,1,0,-1,-1,0.43
87,0,0,0,0,2,0,0,-1,0.435
88,-1,-1,-1,0,2,5,1,1,0.44
89,0,-1,0,-1,2,1,-1,0,0.445
90,2,2,-3,-2,-2,-3,1,-1,0.45
91,2,-1,-1,-3,-4,-2,-3,-1,0.455
92,-4,0,0,-2,0,-1,0,-3,0.46
93,-2,-1,-1,-2,-8,-4,0,0,0.465
94,0,0,0,1,13,4,-1,-2,0.47
95,0,0,0,1,-7,-10,0,-2,0.475
96,1,0,-2,-1,-1,1,-2,1,0.48
97,-3,-1,0,1,2,1,0,0,0.485
98,0,-2,-1,-1,-1,2,-1,-1,0.49
99,0,-1,1,0,0,1,-1,-2,0.495
100,-1,-2,-1,-1,-2,-5,0,-1,0.5
101,-3,0,0,-3,-4,-4,-2,-2,0.505
102,-2,-6,-3,-2,1,-4,-2,-1,0.51
103,-1,0,-1,0,-2,3,2,0,0.515
104,0,0,-2,0,-1,-2,-1,-1,0.52
105,-2,-1,-1,-1,3,1,-1,-1,0.525
106,1,3,1,-1,-2,0,0,1,0.53
107,0,0,0,-3,-1,2,-1,1,0.535
108,-2,-1,-1,-2,-3,-4,-3,-1,0.54
109,2,-1,0,-1,0,-1,0,0,0.545
110,0,-1,-1,-1,-1,1,-2,-1,0.55
111,-1,-2,-1,0,1,0,0,-2,0.555
112,-1,-1,-1,-4,-10,-10,-2,0,0.56
113,-1,-1,-1,1,15,12,0,-2,0.565
114,1,0,-1,1,-7,-1,0,1,0.57
115,-1,0,-1,0,1,0,0,0,0.575
116,2,-2,0,2,0,1,0,0,0.58
117,2,1,-1,-1,-6,-7,-2,-1,0.585
118,-6,-7,-2,-2,-3,-4,0,-1,0.59
119,-1,4,-2,-2,-2,-1,-1,-2,0.595
120,-1,0,-2,0,5,4,0,-1,0.6
121,0,-2,0,1,-2,0,2,1,0.605
122,1,1,0,0,0,0,-2,-2,0.61
123,-1,-2,4,1,-1,-2,-2,-2,0.615
124,-1,-1,-1,0,1,0,2,-1,0.62
125,0,-1,-1,-2,2,2,-2,0,0.625
126,0,1,-2,-2,-5,-5,-2,0,0.63
127,-1,-2,-2,-2,-2,-3,0,-3,0.635
128,0,-2,-1,-2,-3,1,0,-1,0.64
129,-1,-1,-1,3,10,8,3,0,0.645
130,-1,-1,-1,-3,-4,0,-1,0,0.65
131,0,-2,-2,0,0,-3,-2,-1,0.655
132,0,-1,-1,-1,0,0,-1,1,0.66
133,-1,0,-2,-3,-6,-6,-2,-1,0.665
